timestamp(ms),pressure,temperature,
"1724465763.738","1012.67","22.03",
"1724465763.747","1012.58","22.01",
"1724465763.757","1012.53","22.01",
"1724465763.766","1012.57","22",
"1724465763.776","1012.5","21.99",
"1724465763.786","1012.48","21.99",
"1724465763.795","1012.43","21.98",
"1724465763.805","1012.5","21.98",
"1724465763.814","1012.52","21.98",
"1724465763.824","1012.46","21.98",
"1724465763.834","1012.49","21.98",
"1724465763.843","1012.44","21.98",
"1724465763.853","1012.44","21.98",
"1724465763.862","1012.46",,
"1724465763.863",,"21.98",
"1724465763.872","1012.46","21.97",
"1724465763.882","1012.43","21.98",
"1724465763.891","1012.46",,
"1724465763.892",,"21.97",
"1724465763.901","1012.48","21.97",
"1724465763.91","1012.47","21.98",
"1724465763.92","1012.43","21.97",
"1724465763.93","1012.43","21.97",
"1724465763.939","1012.46","21.97",
"1724465763.949","1012.38","21.97",
"1724465763.959","1012.43","21.98",
"1724465763.968","1012.44","21.98",
"1724465763.978","1012.44","21.98",
"1724465763.987","1012.44","21.98",
"1724465763.997","1012.43","21.98",
"1724465764.006","1012.45",,
"1724465764.007",,"21.98",
"1724465764.016","1012.41","21.98",
"1724465764.026","1012.46","21.98",
"1724465764.035","1012.43",,
"1724465764.036",,"21.98",
"1724465764.045","1012.46","21.99",
"1724465764.054","1012.46","21.99",
"1724465764.064","1012.44","21.98",
"1724465764.074","1012.54","21.99",
"1724465764.083","1012.43",,
"1724465764.084",,"21.99",
"1724465764.093","1012.49","21.99",
"1724465764.102","1012.39","21.98",
"1724465764.112","1012.45","21.99",
"1724465764.122","1012.43","21.99",
"1724465764.131","1012.47",,
"1724465764.132",,"21.99",
"1724465764.141","1012.38","21.98",
"1724465764.151","1012.44","21.99",
"1724465764.16","1012.41",,
"1724465764.161",,"21.99",
"1724465764.169","1012.41",,
"1724465764.17",,"21.99",
"1724465764.179","1012.46","21.99",
"1724465764.189","1012.39","21.99",
"1724465764.198","1012.43",,
"1724465764.199",,"22",
"1724465764.208","1012.47","22",
"1724465764.218","1012.4","21.98",
"1724465764.228","1012.37","21.99",
"1724465764.237","1012.44","21.99",
"1724465764.246","1012.4",,
"1724465764.247",,"21.99",
"1724465764.256","1012.43","21.99",
"1724465764.266","1012.49","22",
"1724465764.275","1012.45",,
"1724465764.276",,"22",
"1724465764.285","1012.44","22",
"1724465764.295","1012.43","22",
"1724465764.304","1012.47","22",
"1724465764.313","1012.45",,
"1724465764.314",,"22",
"1724465764.323","1012.43","22",
"1724465764.333","1012.45","22",
"1724465764.343","1012.46","22",
"1724465764.352","1012.44",,
"1724465764.353",,"22",
"1724465764.362","1012.43","22",
"1724465764.371","1012.38","22",
"1724465764.381","1012.46","22.01",
"1724465764.39","1012.39",,
"1724465764.391",,"22.01",
"1724465764.4","1012.42","22",
"1724465764.41","1012.41","22",
"1724465764.42","1012.4","22.01",
"1724465764.429","1012.42","22.01",
"1724465764.438","1012.43","22.01",
"1724465764.448","1012.39","22",
"1724465764.458","1012.41","22",
"1724465764.467","1012.4",,
"1724465764.468",,"22.01",
"1724465764.477","1012.42","22.01",
"1724465764.487","1012.41","22.01",
"1724465764.496","1012.43","22.01",
"1724465764.505","1012.45",,
"1724465764.506",,"22.01",
"1724465764.515","1012.48","22.01",
"1724465764.525","1012.43","22.01",
"1724465764.535","1012.45","22.01",
"1724465764.544","1012.42",,
"1724465764.545",,"22.01",
"1724465764.553","1012.38",,
"1724465764.554",,"22.02",
"1724465764.563","1012.47","22.01",
"1724465764.573","1012.48","22.02",
"1724465764.582","1012.46",,
"1724465764.583",,"22.01",
"1724465764.592","1012.42","22.02",
"1724465764.602","1012.42","22.02",
"1724465764.612","1012.42","22.02",
"1724465764.621","1012.38","22.02",
"1724465764.634","1012.4","22.02",
"1724465764.64","1012.4","22.02",
"1724465764.649","1012.39",,
"1724465764.65",,"22.02",
"1724465764.659","1012.4","22.02",
"1724465764.669","1012.41","22.02",
"1724465764.678","1012.39",,
"1724465764.679",,"22.02",
"1724465764.688","1012.43","22.02",
"1724465764.697","1012.47","22.02",
"1724465764.707","1012.45","22.02",
"1724465764.717","1012.4","22.02",
"1724465764.726","1012.48",,
"1724465764.727",,"22.03",
"1724465764.736","1012.44","22.03",
